PARAM,AVG_TIME,RUN,FAILED
10,2310ms,1,0
10,2156ms,2,0
10,2238ms,3,0
50,2194ms,1,0
50,2191ms,2,0
50,2222ms,3,0
100,2213ms,1,0
100,2212ms,2,0
100,2211ms,3,0
