PARAM,AVG_TIME,RUN,FAILED
10,1833ms,1,0
10,1941ms,2,0
10,1762ms,3,0
100,2312ms,1,0
100,2151ms,2,0
100,2168ms,3,0
1000,2134ms,1,0
1000,2227ms,2,0
1000,2181ms,3,0
